value,valueLabel,valueDescription,ct,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q2579265,maréchal de camp,general officer rank used by the French Army until 1848,6,http://www.wikidata.org/entity/Q3260516,Louis-François de Chambray
http://www.wikidata.org/entity/Q26237088,conscientious objector,"individual who refuses to perform military service on the grounds of freedom of thought, conscience, and/or religion",6,http://www.wikidata.org/entity/Q74444,August Dickmann
http://www.wikidata.org/entity/Q2640734,reindeer herder,"individual who refuses to perform military service on the grounds of freedom of thought, conscience, and/or religion",6,http://www.wikidata.org/entity/Q4129778,Elsa Laula Renberg
http://www.wikidata.org/entity/Q267027,soaper,craft,6,http://www.wikidata.org/entity/Q365379,Adolph Gottlieb Friedrich
http://www.wikidata.org/entity/Q27017226,government inspector of schools,craft,6,http://www.wikidata.org/entity/Q13194764,Murdo MacLeod
http://www.wikidata.org/entity/Q27062494,segalari,craft,6,http://www.wikidata.org/entity/Q12253987,Arkaitz Arteaga
http://www.wikidata.org/entity/Q2719946,concubine,"woman who lives with a man, but who is not a wife",6,http://www.wikidata.org/entity/Q434584,Wenxiu
http://www.wikidata.org/entity/Q27645484,cirripedologist,scientist who studies barnacles,6,http://www.wikidata.org/entity/Q21076198,Diana S. Jones
http://www.wikidata.org/entity/Q28050438,broadcasting executive,media manager,6,http://www.wikidata.org/entity/Q18530515,Noël Newsome
http://www.wikidata.org/entity/Q28077818,Q28077818,media manager,6,http://www.wikidata.org/entity/Q5594152,Birger Anrep-Nordin
http://www.wikidata.org/entity/Q28135085,acting coach,media manager,6,http://www.wikidata.org/entity/Q5660517,Agustín Alezzo
http://www.wikidata.org/entity/Q28344495,computer security consultant,profession,6,http://www.wikidata.org/entity/Q7449,Kevin Mitnick
http://www.wikidata.org/entity/Q28498214,theology teacher,profession,6,http://www.wikidata.org/entity/Q26141,Carlos María Franzini
http://www.wikidata.org/entity/Q28865155,crossword compiler,occupation,6,http://www.wikidata.org/entity/Q3309871,Michel Hannequart
http://www.wikidata.org/entity/Q28869817,Q28869817,occupation,6,http://www.wikidata.org/entity/Q2887018,Carlos Molina
http://www.wikidata.org/entity/Q28920864,land owner,occupation,6,http://www.wikidata.org/entity/Q1056616,József Huszár
http://www.wikidata.org/entity/Q28947943,miniature painter,occupation,6,http://www.wikidata.org/entity/Q21287390,Marie Honoré Renaud
http://www.wikidata.org/entity/Q28966587,Q28966587,occupation,6,http://www.wikidata.org/entity/Q5568454,Natanael Beckman
http://www.wikidata.org/entity/Q2901245,bibliology,study of books or of writings,6,http://www.wikidata.org/entity/Q670238,Henry Cohen
http://www.wikidata.org/entity/Q29017403,Q29017403,study of books or of writings,6,http://www.wikidata.org/entity/Q4166361,Q4166361
http://www.wikidata.org/entity/Q2917380,fugitive,person who is fleeing from custody,6,http://www.wikidata.org/entity/Q1190079,Riddick
http://www.wikidata.org/entity/Q2926103,bronze caster,artisan who casts bronze,6,http://www.wikidata.org/entity/Q192222,Lysippos
http://www.wikidata.org/entity/Q2962047,key grip,artisan who casts bronze,6,http://www.wikidata.org/entity/Q22677135,John Finnerty
http://www.wikidata.org/entity/Q2986308,Commissaire de police,police commissioner in France,6,http://www.wikidata.org/entity/Q3165623,Jean-François Gayraud
http://www.wikidata.org/entity/Q29958026,batologist,A botanist who studies the genus Rubus,6,http://www.wikidata.org/entity/Q2619980,Heinrich Emanuel Grabowski
http://www.wikidata.org/entity/Q30131998,cultural anthropologist,A botanist who studies the genus Rubus,6,http://www.wikidata.org/entity/Q9353223,Sławomir Sikora
http://www.wikidata.org/entity/Q30134437,Q30134437,A botanist who studies the genus Rubus,6,http://www.wikidata.org/entity/Q9191,René Descartes
http://www.wikidata.org/entity/Q3062119,Q3062119,A botanist who studies the genus Rubus,6,http://www.wikidata.org/entity/Q3059729,Eugène Biraud
http://www.wikidata.org/entity/Q3074722,recorder player,A botanist who studies the genus Rubus,6,http://www.wikidata.org/entity/Q241557,Michala Petri
http://www.wikidata.org/entity/Q3090865,tightrope walker,"person who walks on a tightrope, normally a provider of entertainment",6,http://www.wikidata.org/entity/Q5715553,Henri L'Estrange
http://www.wikidata.org/entity/Q3154693,city council,"legislative body that governs a city, municipality or local government area",6,http://www.wikidata.org/entity/Q19885577,Max Klimmek
http://www.wikidata.org/entity/Q3214532,plowman,"legislative body that governs a city, municipality or local government area",6,http://www.wikidata.org/entity/Q148458,Jean-François Millet
http://www.wikidata.org/entity/Q323081,polyglot,"legislative body that governs a city, municipality or local government area",6,http://www.wikidata.org/entity/Q766031,Anatole Jakovsky
http://www.wikidata.org/entity/Q3247049,officer of arms,position within a state,6,http://www.wikidata.org/entity/Q2835514,William Weldon
http://www.wikidata.org/entity/Q3249024,County governor,Head of provincial administration in several North European countries,6,http://www.wikidata.org/entity/Q770582,Daniel Tilas
http://www.wikidata.org/entity/Q3273051,Derebey,Head of provincial administration in several North European countries,6,http://www.wikidata.org/entity/Q28466228,Ismail Trasteniklioglu
http://www.wikidata.org/entity/Q33026583,Q33026583,Head of provincial administration in several North European countries,6,http://www.wikidata.org/entity/Q717126,Arvid Ahnfelt
