value,valueLabel,valueDescription,ct,valueAltLabel,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q33938,Hausa,ethnic group,5,,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q45914,Maya people,people of southern Mexico and northern Central America,5,"Maya, Maya peoples",http://www.wikidata.org/entity/Q3828669,Cocomes
http://www.wikidata.org/entity/Q47740,Muslim,adherent of Islam,5,Moslem,http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q101828,Ainu people,ethnic group,4,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q102090,Apache,several culturally related groups of Native Americans in the United States,4,"Apaches, Apache tribe",http://www.wikidata.org/entity/Q435252,Mary Kim Titla
http://www.wikidata.org/entity/Q1041917,Spanish American,,4,,http://www.wikidata.org/entity/Q234060,Nathalia Ramos
http://www.wikidata.org/entity/Q108266,Navajo people,ethnic group,4,Navahos,http://www.wikidata.org/entity/Q4817740,Atsidi Sani
http://www.wikidata.org/entity/Q1130350,Minangkabau people,ethnic group,4,,http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q1135531,Samoans,ethnic group,4,,http://www.wikidata.org/entity/Q16641,American Samoa
http://www.wikidata.org/entity/Q1187403,Mongols in China,ethnic group,4,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q1262400,Mende people,ethnic group,4,,http://www.wikidata.org/entity/Q359490,Albert Margai
http://www.wikidata.org/entity/Q1280677,Serbs of Croatia,,4,Croatian Serbs,http://www.wikidata.org/entity/Q9036,Nikola Tesla
http://www.wikidata.org/entity/Q1281344,Teso people,ethnic group,4,Iteso people,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q130900,Lombards,historical ethnical group,4,,http://www.wikidata.org/entity/Q2286808,Claffone
http://www.wikidata.org/entity/Q1355420,Nambudiri,,4,,http://www.wikidata.org/entity/Q891045,Parameshvara
http://www.wikidata.org/entity/Q135863,Algonquian people,North American native language group,4,,http://www.wikidata.org/entity/Q16109294,Kitigan Zibi Anishinabeg
http://www.wikidata.org/entity/Q16151308,White Dominican,,4,,http://www.wikidata.org/entity/Q372442,Ulises Francisco Espaillat
http://www.wikidata.org/entity/Q16242628,Afro-American peoples of the Americas,,4,,http://www.wikidata.org/entity/Q43303,Malcolm X
http://www.wikidata.org/entity/Q163943,Druze,,4,,http://www.wikidata.org/entity/Q2584267,Ayoob Kara
http://www.wikidata.org/entity/Q17409176,Copts (ethnic group),,4,,http://www.wikidata.org/entity/Q263779,Maria al-Qibtiyya
http://www.wikidata.org/entity/Q193067,Tuvans,ethnic group,4,,http://www.wikidata.org/entity/Q697405,shaman
http://www.wikidata.org/entity/Q193092,Tutsi,ethnic group inhabiting the African Great Lakes region,4,"Abatutsi, Imfure, Wahima, Wahuma, Watusi, Watutsi",http://www.wikidata.org/entity/Q247250,Bosco Ntaganda
http://www.wikidata.org/entity/Q1996477,Noongar people,"an Indigenous Australian people who live in the south-west corner of Western Australia, from Geraldton on the west coast to Esperance on the south coast",4,"Noongar, Noonga, Nyoongah, Nyoongar, Nyungah, Nyungar",http://www.wikidata.org/entity/Q3195101,Ken Wyatt
http://www.wikidata.org/entity/Q201501,Baloch people,ethnic group,4,,http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q202353,Alur people,ethnic group in Uganda,4,,http://www.wikidata.org/entity/Q1606997,Henry Luke Orombi
http://www.wikidata.org/entity/Q203178,Kikuyu,ethnic group,4,Kikuyu people,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q20715202,Spanish Americans,ethnic group,4,,http://www.wikidata.org/entity/Q41173,Demi Lovato
http://www.wikidata.org/entity/Q209959,Miao,ethnic group,4,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q210332,Haida people,ethnic group from the Pacific Northwest of North America,4,"Haida, Hydah, Hydah people",http://www.wikidata.org/entity/Q615962,Bill Reid
http://www.wikidata.org/entity/Q213396,Wyandot people,ethnic group,4,Huron people,http://www.wikidata.org/entity/Q258011,Great Peacemaker
http://www.wikidata.org/entity/Q236807,Yugoslavs,united South Slavic people and the citizens of the former Yugoslavia,4,,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q245794,Greek Cypriots,ethnic group,4,,http://www.wikidata.org/entity/Q3555001,Vassos Lyssarides
http://www.wikidata.org/entity/Q2513044,Chinese people in Burma,,4,,http://www.wikidata.org/entity/Q557313,Khin Nyunt
http://www.wikidata.org/entity/Q2584186,Iranian Armenians,,4,,http://www.wikidata.org/entity/Q2133826,Ray Aghayan
http://www.wikidata.org/entity/Q2587830,Pardo Brazillians,ethnic group,4,Pardo,http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q2593852,Turks in the Republic of Macedonia,,4,,http://www.wikidata.org/entity/Q12760410,Usnija Redžepova
http://www.wikidata.org/entity/Q2615416,Portuguese Brazilians,Brazilian citizens of Portuguese descent,4,,http://www.wikidata.org/entity/Q156774,Pedro II of Brazil
http://www.wikidata.org/entity/Q2849692,Anglo-Irish people,ethnic group in Ireland,4,"Angla-Eireannach, Angla-Éireannach",http://www.wikidata.org/entity/Q41166,Jonathan Swift
http://www.wikidata.org/entity/Q285828,Gibraltarian people,ethnic group,4,Gibraltarians,http://www.wikidata.org/entity/Q238155,Kaiane Aldorino
http://www.wikidata.org/entity/Q3036435,Afro-Latin American,Latin American people with African ancestry,4,"Afro-South American, Afro Latino, Afro Latinx",http://www.wikidata.org/entity/Q271263,Vanessa del Rio
http://www.wikidata.org/entity/Q311883,Maranao people,ethnic group,4,,http://www.wikidata.org/entity/Q4714358,Aleem Said Ahmad Basher
http://www.wikidata.org/entity/Q320693,Lak people,Lak people of Dagestan,4,Laki,http://www.wikidata.org/entity/Q470325,Amet-khan Sultan
http://www.wikidata.org/entity/Q324516,Choctaw,Native American people originally from the Southeastern United States,4,"Chactas, Chahta, Chactaw, Chocktaw, Tchakta",http://www.wikidata.org/entity/Q202735,Billy Bob Thornton
http://www.wikidata.org/entity/Q3267812,Portuguese American,ethnic group,4,,http://www.wikidata.org/entity/Q2263,Tom Hanks
http://www.wikidata.org/entity/Q3402317,Tümed,,4,,http://www.wikidata.org/entity/Q9390666,Emubu
http://www.wikidata.org/entity/Q340520,Acehnese people,ethnic group,4,"Achin, Atse, Lambri, Lam Muri, Akhir, Asji, A-tse",http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q368125,Anglo-Indian,ethnic group,4,,http://www.wikidata.org/entity/Q356679,George Edalji
http://www.wikidata.org/entity/Q379636,Torres Strait Islanders,ethnic group,4,,http://www.wikidata.org/entity/Q952921,Patrick Mills
http://www.wikidata.org/entity/Q4115389,Israeli Druze,,4,,http://www.wikidata.org/entity/Q1572575,Hamad Amar
http://www.wikidata.org/entity/Q428713,Polans,,4,,http://www.wikidata.org/entity/Q4237496,Krakus II
http://www.wikidata.org/entity/Q429921,Tarahumara,Native American people,4,"Raramuri, Rarámuri, Tarahumaes, Tarahumara people",http://www.wikidata.org/entity/Q6081000,Isidro Baldenegro López
http://www.wikidata.org/entity/Q4386404,Louisiana Creole people,ethnic group,4,,http://www.wikidata.org/entity/Q453440,George Herriman
http://www.wikidata.org/entity/Q461282,Yi people,ethnic group,4,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q475021,Vlachs,ethnic group,4,,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q4763645,Anglo-Métis,,4,Anglo-Metis,http://www.wikidata.org/entity/Q1261300,John Norquay
http://www.wikidata.org/entity/Q485348,Bashkirs,ethnic group,4,,http://www.wikidata.org/entity/Q84217,Rudolf Nureyev
http://www.wikidata.org/entity/Q5172105,Coromantee,"ethnic group, English name for enslaved Akan people in the Caribbean",4,"Coromanti, Coromantins, Kormantine",http://www.wikidata.org/entity/Q274041,Nanny of the Maroons
http://www.wikidata.org/entity/Q518365,Hungarians in Romania,ethnic minority,4,,http://www.wikidata.org/entity/Q610503,Iuliu Ilyés
http://www.wikidata.org/entity/Q5290725,Dominican American,,4,,http://www.wikidata.org/entity/Q184219,Michelle Rodriguez
http://www.wikidata.org/entity/Q543386,Oglala Lakota,traditional tribal grouping within the Lakota people,4,Oglala Sioux,http://www.wikidata.org/entity/Q44555,Crazy Horse
http://www.wikidata.org/entity/Q5639720,Haitian American,People of Haitian heritage and diaspora living in the United States,4,,http://www.wikidata.org/entity/Q155407,Jean-Michel Basquiat
http://www.wikidata.org/entity/Q6013982,Romani people in France,,4,,http://www.wikidata.org/entity/Q1507654,Manitas de Plata
http://www.wikidata.org/entity/Q648255,Kabyle people,ethnic group,4,,http://www.wikidata.org/entity/Q106383,Isabelle Adjani
http://www.wikidata.org/entity/Q6510842,Lebanese American,,4,,http://www.wikidata.org/entity/Q107249,Tony Shalhoub
http://www.wikidata.org/entity/Q6935055,Multiracial American,ethnic group,4,,http://www.wikidata.org/entity/Q10738,Dwayne Johnson
http://www.wikidata.org/entity/Q69798,Tamizh,ethnic group,4,Tamizh people,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q7015349,New Zealand European,,4,,http://www.wikidata.org/entity/Q664,New Zealand
http://www.wikidata.org/entity/Q7032863,Nigerian American,ethnic group,4,,http://www.wikidata.org/entity/Q3877423,Nnedi Okorafor
http://www.wikidata.org/entity/Q7210051,Polish minority in the Czech Republic,,4,,http://www.wikidata.org/entity/Q3494605,Władysław Santarius
http://www.wikidata.org/entity/Q732317,Ewe people,"West African ethnic group, largest in Togo",4,Eveawo,http://www.wikidata.org/entity/Q5479997,Francis Amenu
http://www.wikidata.org/entity/Q739970,Serer people,West African ethnic group,4,Serer,http://www.wikidata.org/entity/Q2836043,Alhaji Bai Modi Joof
http://www.wikidata.org/entity/Q752526,Galician people,ethnic group,4,,http://www.wikidata.org/entity/Q251556,Ángel Castro y Argiz
http://www.wikidata.org/entity/Q804430,Kiga people,ethnic group,4,"Abakiga, Bakiga people",http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q875556,Israelis,ethnic group,4,Israeli,http://www.wikidata.org/entity/Q1691458,Yaron Shani
http://www.wikidata.org/entity/Q23693,Visigoths,Major Gothic tribe,4,,http://www.wikidata.org/entity/Q1236376,Theudimer
http://www.wikidata.org/entity/Q27106,Island Caribs,group of people who live in Venezuela and the Lesser Antilles islands,4,,http://www.wikidata.org/entity/Q2947314,Chacao
http://www.wikidata.org/entity/Q33543,Erzyans,finno-ugric ethnic group,4,,http://www.wikidata.org/entity/Q247399,Alyona
http://www.wikidata.org/entity/Q37044,Luo people of Kenya and Tanzania,ethnic group,4,Luo,http://www.wikidata.org/entity/Q645228,Jaramogi Oginga Odinga
http://www.wikidata.org/entity/Q40477,Slavs,"Indo-European ethno-linguistic group living in Central Europe, Eastern Europe, Southeast Europe, North Asia and Central Asia",4,Slavic peoples,http://www.wikidata.org/entity/Q838267,Slavic religion
http://www.wikidata.org/entity/Q42193,Goths,,4,,http://www.wikidata.org/entity/Q312598,Athanaric
http://www.wikidata.org/entity/Q44614,Taiwanese American,ethnic group,4,,http://www.wikidata.org/entity/Q256032,Kobe Tai
http://www.wikidata.org/entity/Q4987,Banu Hashim,clan in the Quraysh tribe,4,"Hashimi, Hashemi, Bani Hashem, Bani Hashim, Banu Hashem",http://www.wikidata.org/entity/Q9458,Muhammad
http://www.wikidata.org/entity/Q51705,Muscogee,Native American people traditionally from the southeastern United States,4,"Creek, Muskogee, Creeks, Mvskoke",http://www.wikidata.org/entity/Q537322,Will Sampson
http://www.wikidata.org/entity/Q5406,Hittites,ancient people in the Middle East who established an empire,4,"Hatti, Hittite, Hettite, Hettites",http://www.wikidata.org/entity/Q360332,Tudhaliya III
http://www.wikidata.org/entity/Q36,Poland,republic in Central-Eastern Europe,3,"pl, PL, 🇵🇱, POL, Polska, Republic of Poland",http://www.wikidata.org/entity/Q16750585,Ludwig Kasner
http://www.wikidata.org/entity/Q102891,Picts,ancient and medieval tribal confederation in northern Britain,3,,http://www.wikidata.org/entity/Q559621,Calgacus
http://www.wikidata.org/entity/Q107434,Sioux,Native American and First Nations people in North America,3,,http://www.wikidata.org/entity/Q2298747,Little Crow
http://www.wikidata.org/entity/Q109402,Aymara,ethnic group,3,Aymara people,http://www.wikidata.org/entity/Q1403224,Felipe Quispe
http://www.wikidata.org/entity/Q115473,Hazaras,Persian-speaking people who mainly live in central Afghanistan,3,,http://www.wikidata.org/entity/Q889,Afghanistan
http://www.wikidata.org/entity/Q1207351,Chinese Canadian,ethnic group,3,Canadians of Chinese descent,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q1242155,Albanians in Kosovo,ethnic group,3,,http://www.wikidata.org/entity/Q229760,Rita Ora
http://www.wikidata.org/entity/Q1250849,Pākehā,Māori language term for non-Māori or for New Zealanders of European descent,3,Pakeha,http://www.wikidata.org/entity/Q1333841,Elsie Locke
http://www.wikidata.org/entity/Q1259835,Serbians,,3,,http://www.wikidata.org/entity/Q8050417,Yavuz Ali Pasha
http://www.wikidata.org/entity/Q1267849,Indo-Aryan peoples,ethnic group,3,,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q1273334,Langi people,ethnic group,3,,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q1276073,Chileans,ethnic group,3,Chilean people,http://www.wikidata.org/entity/Q440,Salvador Allende
http://www.wikidata.org/entity/Q1290600,Visayans,"Austronesian ethnolinguistic groups originated from Visayas, in the Philippines",3,,http://www.wikidata.org/entity/Q928,Philippines
http://www.wikidata.org/entity/Q1307911,Chicano,chosen identity of some Mexican Americans in the United States,3,"Chicana, Chicano ／ Chicana, Xicana, Xicano",http://www.wikidata.org/entity/Q24049031,Diane Felix
http://www.wikidata.org/entity/Q131802,Scythians,historical ethnical group,3,,http://www.wikidata.org/entity/Q2071073,Scyles
http://www.wikidata.org/entity/Q13181885,Bagale Thapa,Khas Kshatriya clan of Thapa,3,"Bagale Kshatri, Bagaliya, Bagalya Thapa, Bagale",http://www.wikidata.org/entity/Q3634072,Amar Singh Thapa
http://www.wikidata.org/entity/Q1367368,Shatuo,historical ethnical group,3,"Sart, Sha-t'o, Shato, shātuó, shātuó tūjué, 沙陀, 沙陀突厥",http://www.wikidata.org/entity/Q703646,Mingzong
http://www.wikidata.org/entity/Q1417088,Inupiat people,ethnic group,3,Iñupiaq people,http://www.wikidata.org/entity/Q4711810,Alberta Schenck Adams
http://www.wikidata.org/entity/Q142897,Zaza people,people from Iran whose native language is Zazaki,3,"Dimilis, Kirds, Kirmancs, Zazas",http://www.wikidata.org/entity/Q2166481,Seyid Riza
http://www.wikidata.org/entity/Q146744,Copts,member of the Coptic Church,3,Copt,http://www.wikidata.org/entity/Q1257,Boutros Boutros-Ghali
http://www.wikidata.org/entity/Q155085,Suebi,,3,,http://www.wikidata.org/entity/Q511273,Theodemar
http://www.wikidata.org/entity/Q1567862,Iraqi people,ethnic group,3,,http://www.wikidata.org/entity/Q4749177,Amy Fadhli
http://www.wikidata.org/entity/Q1754891,Ponca,ethnic group,3,Poncas,http://www.wikidata.org/entity/Q4896726,Standing Bear
http://www.wikidata.org/entity/Q1792998,Kurds in Syria,,3,Syrian Kurds,http://www.wikidata.org/entity/Q83488,Mesut Özil
http://www.wikidata.org/entity/Q184922,Udmurt people,ethnic group,3,,http://www.wikidata.org/entity/Q4058760,Q4058760
http://www.wikidata.org/entity/Q1905026,Madi people,,3,,http://www.wikidata.org/entity/Q1949128,Moses Ali
http://www.wikidata.org/entity/Q190992,Iberians,historical ethnical group,3,2580,http://www.wikidata.org/entity/Q766552,Lucius Cornelius Balbus
http://www.wikidata.org/entity/Q1956640,Anishinaabe,,3,,http://www.wikidata.org/entity/Q250161,Dennis Banks
http://www.wikidata.org/entity/Q2025025,Poles in Ukraine,,3,,http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q205006,Amis people,ethnic group,3,Ami,http://www.wikidata.org/entity/Q8350030,Icyang Parod
http://www.wikidata.org/entity/Q212106,Dinka,ethnic group in South Sudan,3,Dinka people,http://www.wikidata.org/entity/Q275183,Luol Deng
http://www.wikidata.org/entity/Q219995,Guanches,aboriginal inhabitants of the Canary Islands that are no longer exist as a distinct ethnicity,3,,http://www.wikidata.org/entity/Q2508323,Beneharo
http://www.wikidata.org/entity/Q2335769,House of Bëor,Human clan from J. R. R. Tolkien's legendarium,3,,http://www.wikidata.org/entity/Q11960613,Bereg
http://www.wikidata.org/entity/Q2365041,Argentines,people of the country of Argentina or who identify as culturally Argentine,3,Argentine people,http://www.wikidata.org/entity/Q1712369,Julio Macat
http://www.wikidata.org/entity/Q2426677,Iranian Azerbaijanis,ethnic group,3,,http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q2505231,Ukrainian American,,3,,http://www.wikidata.org/entity/Q170576,Milla Jovovich
http://www.wikidata.org/entity/Q2590074,Armenians in Turkey,,3,,http://www.wikidata.org/entity/Q623586,Ara Güler
http://www.wikidata.org/entity/Q2704511,White Africans of European ancestry,"people of European descent living in Africa, who identify themselves as White",3,,http://www.wikidata.org/entity/Q1029,Mozambique
http://www.wikidata.org/entity/Q271790,Karen people,ethnic group,3,Karen,http://www.wikidata.org/entity/Q836,Myanmar
http://www.wikidata.org/entity/Q273854,Gauls,"Celtic inhabitants of a large part of Europe called Gaul, before the Roman domination",3,Gallic people,http://www.wikidata.org/entity/Q333836,Crixus
http://www.wikidata.org/entity/Q2894388,Belgian American,ethnic group,3,,http://www.wikidata.org/entity/Q37175,Johnny Depp
http://www.wikidata.org/entity/Q2895807,Benga people,,3,,http://www.wikidata.org/entity/Q21587714,Bonkoro I
http://www.wikidata.org/entity/Q2935829,English Canadian,Canadian of English ethnic origin and heritage,3,,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q3026382,Italian French,,3,,http://www.wikidata.org/entity/Q516318,Max Gallo
http://www.wikidata.org/entity/Q321090,German Brazilians,Brazilian person of ethnic German ancestry or origin,3,"Deutschbrasilianer, German Brazilian, Teuto-brasileiro",http://www.wikidata.org/entity/Q152208,Gisele Bündchen
http://www.wikidata.org/entity/Q322951,Cheyenne people,group of indigenous people of the Great Plains,3,"Cheyenne, Cheyennes",http://www.wikidata.org/entity/Q4890513,Bently Spang
http://www.wikidata.org/entity/Q32360797,Russian Jews,,3,,http://www.wikidata.org/entity/Q45913993,Louis Raiskin
http://www.wikidata.org/entity/Q3247924,Dominican people,ethnic group,3,,http://www.wikidata.org/entity/Q21203,Aruba
http://www.wikidata.org/entity/Q337487,Rajput,"member of one of the patrilineal clans of western, central, northern India and some parts of Pakistan",3,,http://www.wikidata.org/entity/Q4901068,Bhao
http://www.wikidata.org/entity/Q3827586,Banu Hanifa,Wikimedia list article,3,,http://www.wikidata.org/entity/Q558967,Musaylimah
http://www.wikidata.org/entity/Q3870124,Petty Dwarves,Dwarvish race from J. R. R. Tolkien's legendarium,3,,http://www.wikidata.org/entity/Q3245060,Mîm
http://www.wikidata.org/entity/Q388449,Afro-Colombian,Colombian people of African descent,3,African Colombian,http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q415054,Acadians,descendants of the 17th-century French colonists who settled in Acadia,3,,http://www.wikidata.org/entity/Q2396962,Ron Turcotte
http://www.wikidata.org/entity/Q4256383,Indonesian American,,3,,http://www.wikidata.org/entity/Q719320,Tony Gunawan
http://www.wikidata.org/entity/Q4387218,Rajasthani people,,3,,http://www.wikidata.org/entity/Q4836968,B K Goenka
http://www.wikidata.org/entity/Q4450068,Thai American,,3,,http://www.wikidata.org/entity/Q3301656,Maurissa Tancharoen
http://www.wikidata.org/entity/Q445485,Maroon,African refugees who escaped from slavery in the Americas and formed independent settlements. The term can also be applied to their descendants.,3,,http://www.wikidata.org/entity/Q274041,Nanny of the Maroons
http://www.wikidata.org/entity/Q4532179,Éothéod,Human race from J. R. R. Tolkien's legendarium,3,Eotheod,http://www.wikidata.org/entity/Q1961697,Fram
http://www.wikidata.org/entity/Q4690221,Afro Venezuelans,racial or ethnic group in Venezuela with African ancestry,3,"African Venezuelans, Afro-Venezuelans",http://www.wikidata.org/entity/Q717,Venezuela
http://www.wikidata.org/entity/Q474202,Seminole,ethnic group,3,,http://www.wikidata.org/entity/Q2119977,John Horse
http://www.wikidata.org/entity/Q484479,Kyrgyz people,ethnic group,3,"Kirgiz, Kyrghyz",http://www.wikidata.org/entity/Q889,Afghanistan
http://www.wikidata.org/entity/Q485010,Ingush people,ethnic group,3,,http://www.wikidata.org/entity/Q319464,Yunus-bek Yevkurov
http://www.wikidata.org/entity/Q4858560,Barbadian American,ethnic group,3,,http://www.wikidata.org/entity/Q239657,Shirley Chisholm
http://www.wikidata.org/entity/Q4997542,Bundjalung,Aboriginal Australian people of northern coastal New South Wales,3,Bundjalung people,http://www.wikidata.org/entity/Q20675976,Sol Bellear
http://www.wikidata.org/entity/Q5030929,Canadians of German ethnicity,ethnic group,3,German Canadian,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q52824249,Swiss Jews,ethnic and religious group,3,,http://www.wikidata.org/entity/Q123902,Ruth Dreifuss
http://www.wikidata.org/entity/Q5330004,Eastern Band of Cherokee Indians,,3,,http://www.wikidata.org/entity/Q3822317,Amanda Crowe
http://www.wikidata.org/entity/Q5408188,Somali American,,3,,http://www.wikidata.org/entity/Q5679732,Hassan Mead
http://www.wikidata.org/entity/Q5501667,French-speaking Quebecer,,3,,http://www.wikidata.org/entity/Q2897777,Bernard Derome
http://www.wikidata.org/entity/Q5555481,Ghanaians in the United Kingdom,,3,,http://www.wikidata.org/entity/Q10902,Anita Asante
http://www.wikidata.org/entity/Q5601752,Greek Canadians,ethnic group,3,,http://www.wikidata.org/entity/Q32335,Nia Vardalos
http://www.wikidata.org/entity/Q5742729,Sikkimese people,,3,,http://www.wikidata.org/entity/Q3216562,Kazi Dawa Samdup
http://www.wikidata.org/entity/Q574548,Negev Bedouin,ethnic group,3,,http://www.wikidata.org/entity/Q441169,Amira al Hayb
http://www.wikidata.org/entity/Q591964,Bunjevci,people,3,,http://www.wikidata.org/entity/Q604138,Oliver Dulić
http://www.wikidata.org/entity/Q6071674,Irish migration to Great Britain,ethnic group,3,,http://www.wikidata.org/entity/Q103876,Peter O'Toole
http://www.wikidata.org/entity/Q610315,Kven people,ethnic group,3,,http://www.wikidata.org/entity/Q325118,Leonhard Seppala
http://www.wikidata.org/entity/Q6127426,Jamaican Maroons,"African refugees, and their descendants, who escaped from slavery formed independent settlements.",3,"Leeward Maroons, Windward Maroons",http://www.wikidata.org/entity/Q5192532,Cudjoe
http://www.wikidata.org/entity/Q640090,Kongo people,"the largest ethnic group of the Democratic Republic of Congo, also found in Angola and ROC",3,"Bakongo, Esikongo, Mukongo, Mwisikngo",http://www.wikidata.org/entity/Q916,Angola
http://www.wikidata.org/entity/Q68518,Iroquois,northeast Native American people,3,Iroquois Confederacy,http://www.wikidata.org/entity/Q13909,Angelina Jolie
http://www.wikidata.org/entity/Q690126,Livonian people,ethnic group,3,,http://www.wikidata.org/entity/Q12365550,Q12365550
http://www.wikidata.org/entity/Q699483,Arrernte,Aboriginal Australian people,3,"Aranda, Arunta, Arrarnta",http://www.wikidata.org/entity/Q4822366,Auriel Andrew
http://www.wikidata.org/entity/Q699958,Danube Swabians,ethnic group,3,,http://www.wikidata.org/entity/Q112567,Hans Diplich
http://www.wikidata.org/entity/Q7125803,Pakistani American,Americans of Pakistani descent,3,,http://www.wikidata.org/entity/Q469222,Huma Abedin
http://www.wikidata.org/entity/Q720982,Crimean Karaites,ethnic group,3,Krymkaraylar,http://www.wikidata.org/entity/Q4217536,Q4217536
http://www.wikidata.org/entity/Q7541693,Slovene American,,3,,http://www.wikidata.org/entity/Q55177,Sunita Williams
http://www.wikidata.org/entity/Q756716,Moravians,ethnic group,3,,http://www.wikidata.org/entity/Q97116,Anna Nitschmann
http://www.wikidata.org/entity/Q7573109,Spaniards in France,,3,,http://www.wikidata.org/entity/Q43697,Jean Reno
http://www.wikidata.org/entity/Q7981857,Welsh Australian,ethnic group,3,,http://www.wikidata.org/entity/Q6241775,John Jenkins
http://www.wikidata.org/entity/Q800167,Gwere people,ethnic group,3,,http://www.wikidata.org/entity/Q5541362,George Barnabas Kirya
http://www.wikidata.org/entity/Q817393,black people,humans typically having a degree of Sub-Saharan African ancestry,3,"black man, black woman",http://www.wikidata.org/entity/Q4666341,Abduwali Abdukhadir Muse
http://www.wikidata.org/entity/Q819186,Mandinka people,a West African ethnic group,3,"Malinke, Mandinka, Manding, Mandingo, Mandenka, Mandinko",http://www.wikidata.org/entity/Q336297,Ahmad Tejan Kabbah
http://www.wikidata.org/entity/Q826591,Nahua peoples,group of indigenous peoples of Mexico and El Salvador,3,Nahuatelcatetos,http://www.wikidata.org/entity/Q3457338,Diego de Alvarado Huanitzin
http://www.wikidata.org/entity/Q83328,Turkic peoples,collection of ethnic groups,3,,http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q837881,Lemkos,ethnic group,3,,http://www.wikidata.org/entity/Q742370,Nikifor
http://www.wikidata.org/entity/Q840648,Sinti,ethnic group,3,,http://www.wikidata.org/entity/Q219946,Zoni Weisz
http://www.wikidata.org/entity/Q841351,Afrikaner people,Germanic ethnic group in Southern Africa,3,Afrikaner,http://www.wikidata.org/entity/Q233981,Candice Swanepoel
http://www.wikidata.org/entity/Q863927,Garifuna people,"descendants of West African, Central African, Island Carib, and Arawak people",3,Los garinagu,http://www.wikidata.org/entity/Q504756,Joseph Chatoyer
http://www.wikidata.org/entity/Q868179,Tungusic peoples,,3,,http://www.wikidata.org/entity/Q1044876,Xibe people
http://www.wikidata.org/entity/Q878607,Syrian people,group of humans,3,,http://www.wikidata.org/entity/Q1276579,Michael Ansara
http://www.wikidata.org/entity/Q920233,Chaga people,ethnic group,3,,http://www.wikidata.org/entity/Q6749017,Mangi Meli
http://www.wikidata.org/entity/Q992401,Brulé,traditional tribal grouping within the Lakota people,3,"Brule, Brule Sioux, Brulé Sioux, Sichangu Oyate, Sičháŋǧu Oyáte",http://www.wikidata.org/entity/Q267752,Spotted Tail
http://www.wikidata.org/entity/Q22633,Germanic peoples,"peoples who are, or are related to, native speakers of a Germanic language",3,"Ancient Germanic, German clan, German tribes, Germani, Germanic and celtic countries, Germanic clan, Germanic cultures, Germanic folk, Germanic nation, Germanic people, Germanic race, Germanic speaking peoples, Germanic tribe, Germanic tribes, Germanic world, Germanics, Teutonic people, Teutonic peoples",http://www.wikidata.org/entity/Q36450,Catherine II of Russia
http://www.wikidata.org/entity/Q36692,Zhuang people,ethnic group,3,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q42211,Vandals,East Germanic tribe,3,,http://www.wikidata.org/entity/Q52995,Gunderic
http://www.wikidata.org/entity/Q45813,Huns,tribe,3,,http://www.wikidata.org/entity/Q36724,Attila
http://www.wikidata.org/entity/Q56975,Arbëreshë people,ethnic group in Italy,3,,http://www.wikidata.org/entity/Q3757080,Gaetano Petrotta
http://www.wikidata.org/entity/Q213,Czech Republic,republic in Central Europe,2,"Česká republika, Česko, ČR, cz, 🇨🇿, Czechia, CZR, cze",http://www.wikidata.org/entity/Q20056974,Anton Nejedlik
http://www.wikidata.org/entity/Q214,Slovakia,republic in Central Europe,2,"sk, 🇸🇰, Slovak Republic, SVK",http://www.wikidata.org/entity/Q12773706,Peter Božík
