value,valueLabel,valueDescription,ct,valueAltLabel,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q788321,German Chilean,ethnic group,1,,http://www.wikidata.org/entity/Q315094,Carlos Keller
http://www.wikidata.org/entity/Q7919819,Venezuelan American,ethnic group,1,,http://www.wikidata.org/entity/Q41076,Mariah Carey
http://www.wikidata.org/entity/Q7919857,Venezuelan of European descent,,1,,http://www.wikidata.org/entity/Q717,Venezuela
http://www.wikidata.org/entity/Q793575,Zande people,ethnic group,1,,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q7967790,Wangai,Aboriginal people of Western Australia,1,,http://www.wikidata.org/entity/Q3195101,Ken Wyatt
http://www.wikidata.org/entity/Q798284,Bakhtiari people,ancient southwestern Iranian tribe,1,Bakhtiari,http://www.wikidata.org/entity/Q5998738,Q5998738
http://www.wikidata.org/entity/Q7994447,White Australian,,1,,http://www.wikidata.org/entity/Q5225500,Darryn Lyons
http://www.wikidata.org/entity/Q7994595,White Colombian,,1,,http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q7994663,White Earth Band of Ojibwe,,1,,http://www.wikidata.org/entity/Q4896365,Clyde Bellecourt
http://www.wikidata.org/entity/Q7994805,White Hispanic and Latino Americans,,1,,http://www.wikidata.org/entity/Q5203162,D'Nika Romero
http://www.wikidata.org/entity/Q805221,ballet dancer,person who practices the art of ballet,1,ballerina,http://www.wikidata.org/entity/Q20510342,Q20510342
http://www.wikidata.org/entity/Q807005,Banu Ghatafan,Wikimedia list article,1,,http://www.wikidata.org/entity/Q1748997,Nuaym ibn Masud
http://www.wikidata.org/entity/Q8075530,Zvhil,,1,,http://www.wikidata.org/entity/Q6778596,Q6778596
http://www.wikidata.org/entity/Q810714,Batak,"ethnic groups of North Sumatra, Indonesia",1,Karo Batak,http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q810747,Bateke,Wikipedia disambiguation page,1,,http://www.wikidata.org/entity/Q57521,Ali Bongo Ondimba
http://www.wikidata.org/entity/Q810917,Tswana people,ethnic group,1,,http://www.wikidata.org/entity/Q5163553,Constance Kgosiemang
http://www.wikidata.org/entity/Q813961,Beja people,"ethnic group found mostly in Sudan, but also in parts of Eritrea and Egypt",1,,http://www.wikidata.org/entity/Q1049,Sudan
http://www.wikidata.org/entity/Q817287,Bene Israel,ethnic group,1,"Native Jew Caste, Teli people",http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q830176,Besermyan,ethnic group,1,Biserman,http://www.wikidata.org/entity/Q4482217,Q4482217
http://www.wikidata.org/entity/Q83478,group,"set with an invertible, associative internal operation admitting a neutral element",1,,http://www.wikidata.org/entity/Q2408212,Taghlib
http://www.wikidata.org/entity/Q836699,Romanians in Hungary,,1,,http://www.wikidata.org/entity/Q848114,Lucia Borza
http://www.wikidata.org/entity/Q838239,Andorian,extraterrestrial from Star Trek,1,Andorians,http://www.wikidata.org/entity/Q2573029,Thy'lek Shran
http://www.wikidata.org/entity/Q841325,Qiang,ethnic group of China,1,,http://www.wikidata.org/entity/Q1133057,Ehe Shaoge
http://www.wikidata.org/entity/Q844307,Gurage people,An ethnic group of Ethiopia,1,,http://www.wikidata.org/entity/Q115,Ethiopia
